layer,acc_sum,acc_avg,n,family,variant,model,dataset,max_layer,rel_depth
21,0.46446268656716416,0.44170149253731344,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.65625
22,0.4952388059701492,0.47292537313432836,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.6875
23,0.5133283582089553,0.4935522388059701,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.71875
24,0.5350895522388059,0.5173880597014925,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.75
25,0.5599253731343283,0.545134328358209,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.78125
26,0.5743582089552238,0.5595671641791045,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.8125
27,0.5851641791044777,0.5709850746268657,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.84375
28,0.5943432835820895,0.5805373134328359,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.875
29,0.6171940298507462,0.6053731343283583,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.90625
30,0.6441791044776118,0.6329850746268656,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.9375
31,0.6995671641791045,0.6831940298507463,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,0.96875
32,0.7982537313432836,0.7719850746268656,67000,Llama-3.1-8B,base,Llama-3.1-8B,blimp,32,1.0
1,0.253543667123914,0.029263831732967534,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.03125
2,0.2782350251486054,0.21284865112025605,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.0625
3,0.2889803383630544,0.22039323273891176,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.09375
4,0.28829446730681296,0.2222222222222222,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.125
5,0.28989483310470965,0.24005486968449932,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.15625
6,0.2994970278920896,0.2471422039323274,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.1875
7,0.30635573845450387,0.24439871970736168,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.21875
8,0.31252857796067673,0.25468678555098306,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.25
9,0.31252857796067673,0.2622313671696388,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.28125
10,0.3143575674439872,0.26108824874256975,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.3125
11,0.31801554641060814,0.2681755829903978,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.34375
12,0.3139003200731596,0.26909007773205307,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.375
13,0.32853223593964337,0.2700045724737083,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.40625
14,0.32121627800640146,0.2764060356652949,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.4375
15,0.3406492912665752,0.27983539094650206,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.46875
16,0.3529949702789209,0.3004115226337449,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.5
17,0.36716963877457703,0.32030178326474623,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.53125
18,0.37288523090992226,0.3326474622770919,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.5625
19,0.37585733882030176,0.3296753543667124,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.59375
20,0.39483310470964794,0.34224965706447186,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.625
21,0.4037494284407865,0.35436671239140377,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.65625
22,0.42661179698216734,0.37037037037037035,4374,Llama-3.1-8B,base,Llama-3.1-8B,ewok,32,0.6875
